index,valence_1,valence_2,valence_3,valence_4,valence_5,valence_6,valence_7,valence_8,arousal_1,arousal_2,arousal_3,arousal_4,arousal_5,arousal_6,arousal_7,arousal_8
S01E02R02_clip0000,5,5.0,5,5,5,5,5.0,5,3,1.0,3,3,1,4,5.0,3
S01E02R02_clip0001,6,5.0,5,5,5,4,5.0,5,3,5.0,4,3,6,6,5.0,4
S01E02R02_clip0002,6,5.0,5,5,5,4,5.0,5,3,5.0,4,3,6,5,5.0,4
S01E02R02_clip0003,5,5.0,5,5,4,5,5.0,5,3,3.0,3,3,5,4,5.0,4
S01E02R02_clip0004,6,5.0,5,5,4,5,5.0,5,4,1.0,3,3,7,4,5.0,4
S01E02R02_clip0005,6,5.0,5,5,4,5,5.0,5,4,1.0,3,4,3,5,3.0,4
S01E02R02_clip0006,5,5.0,5,5,5,5,5.0,5,4,1.0,3,4,5,5,3.0,4
S01E02R02_clip0007,5,5.0,5,5,4,5,5.0,5,4,1.0,3,4,4,5,3.0,4
S01E02R02_clip0008,5,5.0,5,4,2,5,5.0,5,4,1.0,3,3,1,5,3.0,4
S01E02R02_clip0009,6,5.0,5,5,1,5,5.0,5,4,1.0,3,3,5,5,3.0,4
S01E02R02_clip0010,6,5.0,5,5,5,5,5.0,5,4,1.0,3,4,4,5,3.0,4
S01E02R02_clip0011,6,5.0,5,6,5,5,5.0,5,4,1.0,3,4,7,6,3.0,4
S01E02R02_clip0012,5,5.0,5,6,5,5,5.0,5,4,1.0,3,4,5,6,3.0,4
S01E02R02_clip0013,6,3.0,5,6,4,5,5.0,5,4,1.0,3,4,5,6,3.0,4
S01E02R02_clip0014,6,3.0,5,6,4,5,5.0,5,4,1.0,3,4,5,6,3.0,4
S01E02R02_clip0015,6,3.0,5,4,1,5,5.0,6,4,1.0,3,5,9,6,4.0,4
S01E02R02_clip0016,6,3.0,5,4,1,5,5.0,5,4,1.0,3,6,9,6,4.0,4
S01E02R02_clip0017,5,3.0,5,4,5,5,5.0,5,4,1.0,3,6,7,6,4.0,4
S01E02R02_clip0018,5,5.0,5,5,5,5,5.0,5,4,1.0,3,5,6,6,3.0,4
S01E02R02_clip0019,6,5.0,5,6,4,5,5.0,5,4,1.0,3,5,3,6,3.0,4
S01E02R02_clip0020,5,5.0,5,5,4,5,5.0,5,4,1.0,3,5,3,6,3.0,4
S01E02R02_clip0021,5,5.0,5,6,1,5,5.0,5,4,1.0,3,5,1,5,3.0,4
S01E02R02_clip0022,5,5.0,5,5,1,5,5.0,5,4,1.0,3,5,1,5,3.0,4
S01E02R02_clip0023,5,3.0,5,4,5,5,5.0,5,4,3.0,3,5,7,5,3.0,4
S01E02R02_clip0024,6,3.0,5,5,5,5,5.0,5,4,1.0,3,5,4,5,3.0,4
S01E02R02_clip0025,5,5.0,5,5,7,5,5.0,5,4,1.0,3,4,5,5,3.0,4
S01E02R02_clip0026,6,5.0,5,5,9,6,6.0,5,4,1.0,3,4,2,5,4.0,4
