index,valence_1,valence_2,arousal_1,arousal_2
S01E02R04_clip0000,5,1,1,1
S01E02R04_clip0001,5,1,1,1
S01E02R04_clip0002,5,1,1,1
S01E02R04_clip0003,5,1,1,1
S01E02R04_clip0004,5,1,1,1
S01E02R04_clip0005,5,1,1,1
S01E02R04_clip0006,5,1,1,1
S01E02R04_clip0007,5,1,1,5
S01E02R04_clip0008,5,1,1,3
S01E02R04_clip0009,5,1,1,5
S01E02R04_clip0010,5,1,1,1
S01E02R04_clip0011,5,1,1,1
S01E02R04_clip0012,5,1,1,1
S01E02R04_clip0013,5,1,1,1
S01E02R04_clip0014,5,1,1,1
S01E02R04_clip0015,5,1,1,1
S01E02R04_clip0016,5,1,1,4
S01E02R04_clip0017,5,1,1,1
S01E02R04_clip0018,5,1,1,1
S01E02R04_clip0019,5,1,1,1
S01E02R04_clip0020,5,1,1,1
S01E02R04_clip0021,5,1,1,1
S01E02R04_clip0022,5,1,1,1
S01E02R04_clip0023,5,1,1,1
S01E02R04_clip0024,5,1,1,1
S01E02R04_clip0025,5,1,1,6
S01E02R04_clip0026,5,1,1,6
S01E02R04_clip0027,5,1,1,1
S01E02R04_clip0028,5,1,1,2
S01E02R04_clip0029,5,1,1,2
S01E02R04_clip0030,5,1,1,1
S01E02R04_clip0031,5,1,1,1
S01E02R04_clip0032,5,1,1,1
S01E02R04_clip0033,5,1,1,4
S01E02R04_clip0034,5,1,1,1
S01E02R04_clip0035,5,1,1,1
S01E02R04_clip0036,5,1,1,1
S01E02R04_clip0037,5,1,1,1
S01E02R04_clip0038,5,1,1,1
S01E02R04_clip0039,5,1,1,1
S01E02R04_clip0040,5,1,1,1
S01E02R04_clip0041,5,1,1,6
S01E02R04_clip0042,5,1,1,6
S01E02R04_clip0043,5,1,1,5
S01E02R04_clip0044,5,1,1,1
S01E02R04_clip0045,5,1,1,1
S01E02R04_clip0046,5,1,1,1
S01E02R04_clip0047,5,1,1,1
S01E02R04_clip0048,5,1,1,1
S01E02R04_clip0049,5,1,1,1
S01E02R04_clip0050,5,1,1,1
S01E02R04_clip0051,5,1,1,1
S01E02R04_clip0052,5,1,1,1
S01E02R04_clip0053,5,1,1,1
S01E02R04_clip0054,5,1,1,1
S01E02R04_clip0055,5,1,1,1
S01E02R04_clip0056,5,1,1,1
S01E02R04_clip0057,5,1,1,1
S01E02R04_clip0058,5,1,1,1
S01E02R04_clip0059,5,1,1,1
S01E02R04_clip0060,5,1,1,1
S01E02R04_clip0061,5,1,1,1
S01E02R04_clip0062,5,1,1,1
S01E02R04_clip0063,5,1,1,1
S01E02R04_clip0064,5,1,1,1
S01E02R04_clip0065,5,1,1,1
S01E02R04_clip0066,5,1,1,1
S01E02R04_clip0067,5,1,1,1
S01E02R04_clip0068,5,1,1,1
S01E02R04_clip0069,5,1,1,1
S01E02R04_clip0070,5,1,1,3
S01E02R04_clip0071,5,1,1,1
S01E02R04_clip0072,5,1,1,1
S01E02R04_clip0073,5,1,1,1
S01E02R04_clip0074,5,1,1,1
S01E02R04_clip0075,5,1,1,1
S01E02R04_clip0076,5,1,1,1
S01E02R04_clip0077,5,1,1,1
S01E02R04_clip0078,5,1,1,1
S01E02R04_clip0079,5,1,1,1
S01E02R04_clip0080,5,1,1,1
S01E02R04_clip0081,5,1,1,1
S01E02R04_clip0082,5,1,1,1
S01E02R04_clip0083,5,1,1,1
S01E02R04_clip0084,5,1,1,1
S01E02R04_clip0085,5,1,1,1
S01E02R04_clip0086,5,1,1,1
S01E02R04_clip0087,5,1,1,1
S01E02R04_clip0088,5,1,1,1
S01E02R04_clip0089,5,1,1,1
S01E02R04_clip0090,5,1,1,1
S01E02R04_clip0091,5,1,1,1
S01E02R04_clip0092,5,1,1,1
S01E02R04_clip0093,5,1,1,1
S01E02R04_clip0094,5,1,1,1
S01E02R04_clip0095,5,1,1,1
S01E02R04_clip0096,5,1,1,1
S01E02R04_clip0097,5,1,1,1
S01E02R04_clip0098,5,1,1,1
S01E02R04_clip0099,5,1,1,1
S01E02R04_clip0100,5,1,1,1
S01E02R04_clip0101,5,1,1,1
S01E02R04_clip0102,5,1,1,1
S01E02R04_clip0103,5,1,1,1
S01E02R04_clip0104,5,1,1,6
S01E02R04_clip0105,3,1,1,6
S01E02R04_clip0106,3,1,1,5
S01E02R04_clip0107,3,1,1,5
S01E02R04_clip0108,3,1,1,1
S01E02R04_clip0109,3,1,1,1
S01E02R04_clip0110,3,1,1,1
S01E02R04_clip0111,3,1,1,1
S01E02R04_clip0112,3,1,1,1
S01E02R04_clip0113,3,1,1,1
S01E02R04_clip0114,3,1,1,1
S01E02R04_clip0115,3,1,1,1
S01E02R04_clip0116,3,1,1,1
S01E02R04_clip0117,3,1,1,1
S01E02R04_clip0118,3,1,1,1
S01E02R04_clip0119,3,1,1,1
S01E02R04_clip0120,3,1,1,1
S01E02R04_clip0121,3,1,1,1
S01E02R04_clip0122,2,1,1,1
S01E02R04_clip0123,2,1,1,1
S01E02R04_clip0124,5,1,1,1
S01E02R04_clip0125,5,1,1,1
S01E02R04_clip0126,5,1,1,1
S01E02R04_clip0127,5,1,1,1
S01E02R04_clip0128,5,1,1,1
S01E02R04_clip0129,5,1,1,1
S01E02R04_clip0130,5,1,1,1
S01E02R04_clip0131,5,1,1,1
S01E02R04_clip0132,5,1,1,1
S01E02R04_clip0133,5,1,1,1
S01E02R04_clip0134,5,1,1,1
S01E02R04_clip0135,5,1,1,1
S01E02R04_clip0136,5,1,1,1
S01E02R04_clip0137,5,1,1,1
S01E02R04_clip0138,5,1,1,1
S01E02R04_clip0139,5,1,1,1
S01E02R04_clip0140,5,1,1,1
S01E02R04_clip0141,5,1,1,1
S01E02R04_clip0142,5,1,1,1
S01E02R04_clip0143,5,1,1,1
S01E02R04_clip0144,5,1,1,1
S01E02R04_clip0145,5,1,1,1
S01E02R04_clip0146,5,1,1,1
S01E02R04_clip0147,5,1,1,1
S01E02R04_clip0148,5,1,1,1
S01E02R04_clip0149,5,1,1,1
S01E02R04_clip0150,5,1,1,1
S01E02R04_clip0151,5,1,1,1
S01E02R04_clip0152,5,1,1,1
S01E02R04_clip0153,5,1,1,1
S01E02R04_clip0154,5,1,1,1
S01E02R04_clip0155,5,1,1,5
S01E02R04_clip0156,5,1,1,6
S01E02R04_clip0157,5,1,1,4
S01E02R04_clip0158,5,1,1,6
S01E02R04_clip0159,5,1,1,5
S01E02R04_clip0160,5,1,1,4
S01E02R04_clip0161,5,1,1,4
S01E02R04_clip0162,5,1,1,8
S01E02R04_clip0163,5,1,1,5
S01E02R04_clip0164,5,1,1,7
S01E02R04_clip0165,5,1,1,6
S01E02R04_clip0166,5,1,1,4
S01E02R04_clip0167,5,1,1,4
S01E02R04_clip0168,5,1,1,1
S01E02R04_clip0169,5,1,1,1
S01E02R04_clip0170,5,1,1,1
