Visual	Somatomotor	Dorsal Attention	Ventral Attention	Limbic	Frontoparietal	Default Mode	cluster
0.004289422	0.042569164	0.06667971	0.03231822	0.14759977	0.02679202	0.023173327	1
-0.33133733	-0.7493385	-0.582821	-1.3095342	-1.3598646	-1.103186	-0.77265066	2
-0.54588073	-1.268552	-0.9628751	-2.180216	-2.3864233	-1.806143	-1.2894547	0
-0.57833844	-1.3965988	-0.9599748	-2.3653283	-2.705652	-1.8859314	-1.4001615	0
-0.44773945	-1.2150066	-0.6652132	-1.9925032	-2.4281383	-1.4541444	-1.1769314	0
-0.22595191	-0.9190319	-0.2891912	-1.4038318	-1.8699139	-0.81819177	-0.81364	2
0.008533039	-0.67637604	-0.01622644	-0.92566115	-1.327651	-0.28066626	-0.4964923	2
0.20109059	-0.5377944	0.0963084	-0.6988994	-0.9304246	0.008386794	-0.3197965	2
0.3237976	-0.4500178	0.11587448	-0.6617952	-0.6498407	0.0724134	-0.28699103	2
0.3653135	-0.33539137	0.15323761	-0.6565315	-0.41219813	0.031019466	-0.35977775	2
0.32795453	-0.16195332	0.27308783	-0.5590796	-0.19044484	0.0046129734	-0.4924129	1
0.2350386	0.04350526	0.4564573	-0.34745845	-0.0055633094	0.05955048	-0.6286162	1
0.13318038	0.22885184	0.6261667	-0.089531936	0.12946533	0.20010872	-0.69278216	1
0.07572112	0.3551591	0.7046995	0.1156001	0.24037714	0.38440996	-0.61393833	1
0.093970515	0.41288388	0.66333985	0.19861877	0.35892832	0.54776365	-0.3759311	1
0.17993754	0.4182742	0.5373727	0.15652558	0.4698255	0.6312981	-0.045231193	1
0.29752243	0.40429476	0.40548015	0.05441517	0.5081879	0.61135453	0.26093602	1
0.41316715	0.4097216	0.3475298	-0.008218472	0.42428762	0.5131622	0.44820133	1
0.5174355	0.46056944	0.4007689	0.045415796	0.254844	0.39452916	0.5007706	1
0.61666864	0.54707706	0.5340812	0.21813314	0.12216585	0.30699745	0.4741143	1
0.70299894	0.615995	0.6556008	0.4282037	0.1457435	0.26228392	0.43520847	1
0.73451793	0.59611535	0.65699804	0.55401206	0.33595526	0.22911362	0.4043861	1
0.65200686	0.44760805	0.47637716	0.5101564	0.56492937	0.16135754	0.34645376	1
0.4260733	0.19742273	0.1420864	0.30379772	0.64900684	0.034437872	0.21289249	1
0.095925726	-0.07360485	-0.23740949	0.029337127	0.4827746	-0.13715507	-0.0055479254	1
-0.23984084	-0.28722826	-0.53844136	-0.19648395	0.11872232	-0.31157628	-0.26105106	2
-0.4817992	-0.42194548	-0.698686	-0.31050473	-0.27072346	-0.44825327	-0.47752804	2
-0.5923409	-0.51661456	-0.7474205	-0.3317642	-0.51659745	-0.5301488	-0.5976635	2
-0.6084415	-0.61884737	-0.7656718	-0.32348672	-0.5625333	-0.5645205	-0.6082457	2
-0.59391934	-0.7248291	-0.8100239	-0.32584238	-0.4769804	-0.5665114	-0.5292491	2
-0.57682604	-0.76747286	-0.86379445	-0.32057667	-0.3705326	-0.5434284	-0.3875814	2
-0.5307769	-0.66748935	-0.8544374	-0.25665864	-0.2979844	-0.49324134	-0.20554511	2
-0.4153061	-0.4049595	-0.71934044	-0.10839221	-0.23000821	-0.41377252	-0.009666435	2
-0.23292056	-0.048511133	-0.46301848	0.09221291	-0.11171419	-0.3070576	0.16271877	1
-0.04472815	0.2868157	-0.15797393	0.2821042	0.055064287	-0.16974328	0.28055653	1
0.074098915	0.5216399	0.11053419	0.42959028	0.1918937	0.019643636	0.35079494	1
0.100752436	0.6657024	0.30784956	0.5710601	0.2144169	0.2928411	0.42937744	1
0.09169889	0.7930014	0.46498984	0.77712786	0.13066901	0.6528547	0.58561087	1
0.14031509	0.95386165	0.62980586	1.0664927	0.066169225	1.0284905	0.8362317	1
0.29557794	1.0990964	0.79687464	1.3431292	0.17543115	1.2714703	1.102811	3
0.50804347	1.0900295	0.88198435	1.4258122	0.5074042	1.2230769	1.2383964	3
0.64778876	0.7979088	0.77041864	1.1632252	0.9407693	0.8158734	1.1144596	3
0.5802462	0.21692634	0.40440735	0.5498744	1.2440505	0.13469027	0.70512575	1
0.24614303	-0.49877557	-0.1563287	-0.2451402	1.2102436	-0.61020213	0.107526734	1
-0.2975304	-1.1008334	-0.7421825	-0.9517731	0.7707747	-1.1729077	-0.50562674	2
-0.8839459	-1.3660524	-1.1415786	-1.3186932	0.034126222	-1.3625485	-0.95451885	2
-1.2834849	-1.1971678	-1.1918274	-1.2137353	-0.7470788	-1.1002451	-1.1019946	0
-1.2888658	-0.66251117	-0.85437363	-0.6750079	-1.260801	-0.4481843	-0.8870126	2
-0.8233064	0.030739833	-0.2445364	0.094137505	-1.2604375	0.38692763	-0.35805798	2
-0.019391598	0.61682725	0.40372294	0.7924896	-0.6980861	1.1018809	0.3096376	1
0.8009657	0.880011	0.8345652	1.143206	0.20944472	1.4129255	0.8561778	3
1.2686877	0.7476547	0.8887246	1.0222523	1.057658	1.1966864	1.0505296	3
1.1648794	0.31716764	0.5793489	0.51677024	1.4647902	0.5650045	0.8175736	1
0.54769075	-0.20440271	0.07711726	-0.13138482	1.2914592	-0.19092852	0.28585988	1
-0.28378627	-0.6141637	-0.3890549	-0.6642084	0.71251464	-0.7614909	-0.28978288	2
-0.9701673	-0.8090496	-0.65379137	-0.93697655	0.081810616	-0.98000896	-0.6819531	2
-1.2927806	-0.8053335	-0.68246454	-0.95772105	-0.3121913	-0.8788411	-0.81148916	2
-1.2561982	-0.67978907	-0.5460364	-0.8246713	-0.41573966	-0.61245817	-0.7522063	2
-1.007539	-0.48726946	-0.3339642	-0.6225074	-0.3803193	-0.31816375	-0.6278223	2
-0.678483	-0.22515057	-0.08209268	-0.3634776	-0.37468478	-0.02933272	-0.49347147	2
-0.29337582	0.12582022	0.22368643	-0.018881997	-0.41232535	0.29238415	-0.3036141	1
0.18249388	0.5248947	0.5780593	0.39280945	-0.35237524	0.6472098	0.007866546	1
0.7166295	0.8399718	0.8959364	0.75069976	-0.0718067	0.9257254	0.4112801	1
1.1442274	0.91021866	1.0321391	0.8774115	0.35647666	0.95931447	0.7436671	3
1.2477345	0.6674095	0.87982804	0.6663937	0.65790135	0.6610582	0.80236745	3
