run	n_clips	n_valence_raters	n_arousal_raters	valence_icc	valence_pval	valence_reliability	valence_suitable_for_averaging	arousal_icc	arousal_pval	arousal_reliability	arousal_suitable_for_averaging	valence_arousal_correlation	valence_arousal_corr_pval	run_recommendation	emotions_for_averaging
S01E01R01	334	2	2	-1.1102230246251563e-16	0.5000000000000724	Poor	False	0.18194532949005793	0.0004229387000654191	Poor	False	NA	NA	DON'T AVERAGE	none
S01E01R02	276	2	2	5.551115123125783e-17	0.5000000000001236	Poor	False	0.0	0.5000000000001243	Poor	False	NA	NA	DON'T AVERAGE	none
S01E01R03	275	2	2	0.0	0.5000000000000534	Poor	False	2.220446049250314e-16	0.500000000000051	Poor	False	NA	NA	DON'T AVERAGE	none
S01E02R01	305	2	2	-6.661338147750939e-17	0.5000000000001494	Poor	False	-3.3306690738754696e-16	0.5000000000001452	Poor	False	NA	NA	DON'T AVERAGE	none
S01E02R02	250	8	8	NA	NA	Cannot assess	False	NA	NA	Cannot assess	False	NA	NA	DON'T AVERAGE	none
S01E02R03	362	2	2	0.2342792303375344	3.3763506262015327e-06	Poor	False	0.05133859331584511	0.1653160483802868	Poor	False	NA	NA	DON'T AVERAGE	none
S01E02R04	354	2	2	0.0125706585374779	0.4069627540911729	Poor	False	0.0	0.5000000000000553	Poor	False	NA	NA	DON'T AVERAGE	none
S01E02R05	295	2	2	0.0	NA	Cannot assess	False	0.40942658541613053	1.2190064425285345e-13	Fair	False	NA	NA	DON'T AVERAGE	none
S01E02R06	192	2	2	0.06292323826950853	0.19349520053416508	Poor	False	0.42572159714468333	3.8347549293320176e-10	Fair	False	NA	NA	DON'T AVERAGE	none
S01E02R07	294	2	2	0.05948378930467094	0.15506049619553502	Poor	False	0.3604843468874547	9.691759306454846e-11	Poor	False	NA	NA	DON'T AVERAGE	none
S01E03R01	272	2	2	-0.042018143030238736	0.7545011994844455	Poor	False	0.5545711031177841	1.2462489467461676e-23	Fair	False	NA	NA	DON'T AVERAGE	none
S01E03R02	309	2	2	0.024799935060242608	0.3322975878795136	Poor	False	0.32969180594161446	1.4708185161649863e-09	Poor	False	NA	NA	DON'T AVERAGE	none
S01E03R03	317	2	2	NA	NA	Cannot assess	False	-1.110223024625156e-16	0.5000000000000202	Poor	False	NA	NA	DON'T AVERAGE	none
S01E03R04	359	2	2	0.2597959654200438	3.057671198789617e-07	Poor	False	-0.06444594838710002	0.8880395611676692	Poor	False	NA	NA	DON'T AVERAGE	none
S01E03R05	268	2	2	0.07747715191494964	0.10341459281491085	Poor	False	0.6364942816615046	3.755990742063793e-32	Good	True	NA	NA	AVERAGE AROUSAL ONLY	arousal
S01E03R06	415	2	2	0.23450548899277854	6.929566818594801e-07	Poor	False	0.2904986470300404	8.346252290378428e-10	Poor	False	NA	NA	DON'T AVERAGE	none
S01E04R01	307	2	2	0.610299261761406	5.11827447168455e-33	Good	True	0.42469945937976206	3.6524006922550266e-15	Fair	False	NA	NA	AVERAGE VALENCE ONLY	valence
S01E04R02	296	2	2	1.6653345369377348e-16	0.5000000000000785	Poor	False	0.7077991084058072	1.3008792894120798e-46	Good	True	NA	NA	AVERAGE AROUSAL ONLY	arousal
S01E04R03	293	2	2	-0.47412529026494726	0.9999999999999999	Poor	False	0.37396465341352847	1.9017844883991663e-11	Poor	False	NA	NA	DON'T AVERAGE	none
S01E04R04	334	2	2	-0.07552111712320675	0.9153745088584412	Poor	False	0.7862225201816517	9.532884066697904e-72	Excellent	True	NA	NA	AVERAGE AROUSAL ONLY	arousal
S01E04R05	230	2	2	-0.09375334390286848	0.9212524569129833	Poor	False	0.5582725177094519	1.530441565816042e-20	Fair	False	NA	NA	DON'T AVERAGE	none
