Episode,Run,Emotion,ICC,CI_Lower,CI_Upper,F_statistic,df1,df2,p_value,significance,N_Clips,N_Raters
1,1,Valence,-1.3940394369353468e-16,-0.05,0.06,0.9999999999999994,333,333,0.5000000000000817,ns,334,2
1,1,Arousal,0.030624729380155546,-0.05,0.12,1.0828368249087061,333,333,0.23407331658400243,ns,334,2
1,2,Valence,0.0,-0.11,0.11,1.0,275,275,0.5000000000001243,ns,276,2
1,2,Arousal,-7.365902759532287e-17,-0.1,0.1,0.9999999999999998,275,275,0.49999999999987643,ns,276,2
1,3,Valence,8.141635513917815e-17,-0.07,0.07,1.0000000000000002,274,274,0.500000000000051,ns,275,2
1,3,Arousal,-2.1174604717601595e-16,-0.07,0.08,0.9999999999999993,274,274,0.4999999999999496,ns,275,2
2,1,Valence,-9.115419613466144e-17,-0.0,0.0,0.9999999999999766,304,304,0.5000000000002274,ns,305,8
2,1,Arousal,2.3796066234059927e-16,-0.08,0.09,1.0000000000000007,304,304,0.4999999999998697,ns,305,8
2,3,Valence,0.036395818745979185,-0.03,0.13,1.5842859044829476,361,361,6.831249459713449e-06,***,362,8
2,3,Arousal,0.00282889621209319,-0.05,0.06,1.009936854153254,361,361,0.4626066261801698,ns,362,8
2,4,Valence,8.365077058029958e-05,-0.0,0.0,1.0106326422115712,353,353,0.46045529989677075,ns,354,8
2,4,Arousal,-1.2928254957806097e-16,-0.09,0.09,0.9999999999999997,353,353,0.4999999999999374,ns,354,8
2,5,Valence,0.0,,,,294,294,,ns,295,8
2,5,Arousal,0.12841027547788691,0.01,0.25,1.4048693176465668,294,294,0.0018363917510778158,**,295,8
2,6,Valence,0.0037384379913086223,-0.01,0.02,1.090777535316415,191,191,0.274403862789275,ns,192,8
2,6,Arousal,0.12870641902899968,-0.0,0.26,1.385283628493919,191,191,0.012411017569294944,*,192,8
2,7,Valence,0.0033954856546625084,-0.05,0.06,1.014357466006954,293,293,0.4514884055220908,ns,294,8
2,7,Arousal,0.30339228761959997,0.16,0.43,2.041291264855961,293,293,7.74465981796561e-10,***,294,8
3,1,Valence,-0.022786509919054145,-0.14,0.1,0.9555105015246453,271,271,0.6458830734548773,ns,272,2
3,1,Arousal,0.13148134204987033,-0.07,0.33,1.8548472346871099,271,271,2.316138239982239e-07,***,272,2
3,2,Valence,0.020979020979021268,-0.08,0.13,1.0452985586822243,308,308,0.34885188931022953,ns,309,2
3,2,Arousal,0.0007102037337778033,-0.0,0.0,1.4983388704319358,308,308,0.00020513885977272713,***,309,2
3,3,Arousal,1.3456556130824322e-16,-0.0,0.0,1.0000000000000138,316,316,0.4999999999999331,ns,317,2
3,4,Valence,0.2572873082287307,0.16,0.35,1.6916947881514806,358,358,3.8660140988182484e-07,***,359,2
3,4,Arousal,-0.00247794836267356,-0.01,0.01,0.8858429271628903,358,358,0.8740202457958253,ns,359,2
3,5,Valence,0.03630254262494078,-0.04,0.12,1.1233155386862912,267,267,0.17133648766144596,ns,268,2
3,5,Arousal,0.02726192775483321,-0.01,0.12,4.387245233399117,267,267,2.6244616979867463e-31,***,268,2
3,6,Valence,0.19131970459167275,0.1,0.28,1.5110245506200186,414,414,1.4434319306858443e-05,***,415,2
3,6,Arousal,0.0355312429895253,-0.03,0.13,1.7725209169699485,414,414,3.7165351563627206e-09,***,415,2
4,1,Valence,0.2956619110816194,-0.09,0.58,3.299306563457516,306,306,1.7377091745143625e-24,***,307,2
4,1,Arousal,0.26521487124285853,-0.02,0.48,2.315490451091795,306,306,2.343388315183038e-13,***,307,2
4,2,Valence,-2.5623860841251185e-16,-0.03,0.04,0.9999999999999983,295,295,0.4999999999999247,ns,296,2
4,2,Arousal,0.3017134781840664,-0.08,0.64,5.733924611973404,295,295,7.137986906225968e-46,***,296,2
4,3,Valence,-0.039988504331403774,-0.06,0.09,0.3591472842714738,292,292,0.9999999999999999,ns,293,2
4,3,Arousal,0.2453483886804363,-0.0,0.44,2.1164193393968413,292,292,1.2452339317570685e-10,***,293,2
4,4,Valence,-0.01495266781411369,-0.05,0.03,0.8742792538157144,333,333,0.8896178902045064,ns,334,2
4,4,Arousal,0.2685571082976522,-0.05,0.62,7.7314550156526485,333,333,1.614724263542766e-67,***,334,2
4,5,Valence,-0.027305608242382887,-0.09,0.04,0.8486418668841336,229,229,0.8924621646856983,ns,230,2
4,5,Arousal,0.15199480478277255,-0.07,0.42,3.0239619776882978,229,229,1.6207139623290455e-16,***,230,2
